     LATITUDE  LONGITUDE    X_KM    Y_KM  VALUES
     78.4638   218.6598    -800    1000   17.28
     79.4977   210.9638    -600    1000   19.83
     80.3026   201.8014    -400    1000   19.10
     80.8190   191.3099    -200    1000   21.88
     80.9977   180.0000       0    1000   28.26
     80.8190   168.6901     200    1000   19.52
     80.3026   158.1986     400    1000   20.73
     79.4977   149.0362     600    1000    7.69
     70.4504   236.3099   -1800    1200   22.07
     71.9392   233.1301   -1600    1200   20.88
     73.3592   229.3987   -1400    1200   18.92
     74.6928   225.0000   -1200    1200   17.07
     75.9170   219.8056   -1000    1200   17.60
     77.0022   213.6901    -800    1200   18.93
     77.9121   206.5651    -600    1200   23.89
     78.6058   198.4349    -400    1200   25.10
     79.0428   189.4623    -200    1200   24.07
     79.1923   180.0000       0    1200   26.80
     79.0428   170.5377     200    1200   27.23
     78.6058   161.5651     400    1200   23.84
     72.1222   225.0000   -1400    1400   20.41
     73.3592   220.6013   -1200    1400   16.87
     74.4804   215.5377   -1000    1400   19.10
     75.4602   209.7449    -800    1400   22.30
     76.2694   203.1986    -600    1400   29.70
     76.8773   195.9454    -400    1400   31.18
     77.2556   188.1301    -200    1400   28.48
     77.3843   180.0000       0    1400   28.81
     77.2556   171.8699     200    1400   33.22
     76.8773   164.0546     400    1400   39.71
     70.7907   221.1859   -1400    1600   20.21
     71.9392   216.8699   -1200    1600   18.41
     72.9693   212.0054   -1000    1600   20.10
     73.8594   206.5651    -800    1600   23.31
     74.5862   200.5560    -600    1600   33.37
     75.1266   194.0362    -400    1600   36.91
     75.4602   187.1250    -200    1600   33.28
     75.5730   180.0000       0    1600   30.57
     75.4602   172.8750     200    1600   22.78
     71.4006   209.0546   -1000    1800   17.83
     72.2144   203.9625    -800    1800   21.31
     72.8732   198.4349    -600    1800   25.80
     73.3592   192.5288    -400    1800   30.68
     73.6575   186.3402    -200    1800   31.52
     73.7582   180.0000       0    1800   26.08
